group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
1789,,low,2,680.0,690.0,10.0,685.0,0.014599,1.014706,36.35,prism,2801,"Study on size effect of concrete filled steel tubular columns, WU Han-liang; WANG Yuan-feng, Unknown, 2007",36.35,prism,[11]C30_D120_L369.0,222.7,36.35,0,120,120,1.51,60,369,0,0,690
1789,,low,2,680.0,690.0,10.0,685.0,0.014599,1.014706,36.35,prism,2357,"圆形薄壁钢管混凝土短柱受力性能研究, 曹宝珠; 张耀春; 王秋萍; 段文峰, 哈尔滨工业大学学报, 2005",36.35,prism,DZ10,222.7,36.35,0,120,120,1.51,60,369,0,0,680
4200,,low,2,2389.2,2424.1,34.9,2406.65,0.014501,1.014607,56.1,"Cube, size not specified，assumed as fcu150",5688,"Wan-Qing Lyu, Lin-Hai Han, Chao Hou,Axial compressive behaviour and design calculations on recycled aggregate concrete-filled steel tubular (RAC-FST) stub columns,
Engineering Structures,Volume 241,2021,",56.1,"Cube, size not specified，assumed as fcu150",C180-50-2,434.08,47.76025018,50,180,180,2.89,90,540,0,0,2424.1
4200,,low,2,2389.2,2424.1,34.9,2406.65,0.014501,1.014607,56.1,"Cube, size not specified，assumed as fcu150",5687,"Wan-Qing Lyu, Lin-Hai Han, Chao Hou,Axial compressive behaviour and design calculations on recycled aggregate concrete-filled steel tubular (RAC-FST) stub columns,
Engineering Structures,Volume 241,2021,",56.1,"Cube, size not specified，assumed as fcu150",C180-50-1,434.08,47.76025018,50,180,180,2.89,90,540,0,0,2389.2
679,,low,2,1043.6,1058.8,15.2,1051.2,0.01446,1.014565,26.12,prism,875,"Experimental Study on the Behavior of Recycled Concrete-Filled Thin-Wall Steel Tube Columns Under Axial Compression, Kai Wu, Arabian Journal for Science and Engineering, 2018",26.12,prism,RCFTST6C-1,222.5,26.12,50,200,200,1,0,1200,0,0,1058.8
679,,low,2,1043.6,1058.8,15.2,1051.2,0.01446,1.014565,26.12,prism,876,"Experimental Study on the Behavior of Recycled Concrete-Filled Thin-Wall Steel Tube Columns Under Axial Compression, Kai Wu, Arabian Journal for Science and Engineering, 2018",26.12,prism,RCFTST6C-2,222.5,26.12,50,200,200,1,0,1200,0,0,1043.6
110,,low,2,2751.0,2791.0,40.0,2771.0,0.014435,1.01454,78,cube,165,"Behavior of concrete-filled steel tubular stub columns and beams using dune sand as part of fine aggregate, Wei-Hua Wang; Lin-Hai Han; Wei Li; Yi-Hai Jia, Construction and Building Materials, 2014",78,cube,S-5-8-2,353,68.637,0,160,160,5.43,0,480,0,0,2791
110,,low,2,2751.0,2791.0,40.0,2771.0,0.014435,1.01454,78,cube,164,"Behavior of concrete-filled steel tubular stub columns and beams using dune sand as part of fine aggregate, Wei-Hua Wang; Lin-Hai Han; Wei Li; Yi-Hai Jia, Construction and Building Materials, 2014",78,cube,S-5-8-1,353,68.637,0,160,160,5.43,0,480,0,0,2751
2556,,low,2,1380.0,1400.0,20.0,1390.0,0.014388,1.014493,56,Cube 150x150x150mm,3469,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,13-SehB-20-12,330,47.666,0,168,168,6,84,500,12,12,1400
2556,,low,2,1380.0,1400.0,20.0,1390.0,0.014388,1.014493,56,Cube 150x150x150mm,3470,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,14-SehB-20-12,330,47.666,0,168,168,6,84,500,12,12,1380
