Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-500,227.7,32.633,0,100,75,2.86,0,300,0,0,433
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-600-1,227.7,32.633,0,100,75,2.86,0,300,0,0,365
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-600-2,227.7,32.633,0,100,75,2.86,0,300,0,0,390
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-700,227.7,32.633,0,100,75,2.86,0,300,0,0,325
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-800,227.7,32.633,0,100,75,2.86,0,300,0,0,265
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-900,227.7,32.633,0,100,75,2.86,0,300,0,0,230
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,M-A-1,293.8,36.898,0,120,120,2.93,0,360,0,0,836
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,M-A-2,293.8,36.898,0,120,120,2.93,0,360,0,0,868
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,H-A-1,293.8,36.898,0,120,120,2.93,0,360,0,0,800
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,H-A-2,293.8,36.898,0,120,120,2.93,0,360,0,0,732
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,M-B-1,293.8,36.898,0,100,100,2.93,0,300,0,0,664
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,M-B-2,293.8,36.898,0,100,100,2.93,0,300,0,0,676
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,H-B-1,293.8,36.898,0,100,100,2.93,0,300,0,0,616
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",44.4,Cube 150,H-B-2,293.8,36.898,0,100,100,2.93,0,300,0,0,636
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,M-C-1,227.7,50.77,0,140,105,2.86,0,420,0,0,1044
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,M-C-2,227.7,50.77,0,140,105,2.86,0,420,0,0,1086
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,H-C-1,227.7,50.77,0,140,105,2.86,0,420,0,0,900
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,H-C-2,227.7,50.77,0,140,105,2.86,0,420,0,0,920
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,M-D-1,227.7,50.77,0,120,90,2.86,0,360,0,0,800
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,M-D-2,227.7,50.77,0,120,90,2.86,0,360,0,0,760
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,H-D-1,227.7,50.77,0,120,90,2.86,0,360,0,0,620
"混凝土密实度对矩形钢管混凝土短柱力学性能影响研究, 杨有福; 韩林海, Unknown, 0",59.3,Cube 150,H-D-2,227.7,50.77,0,120,90,2.86,0,360,0,0,520
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCA-1,464,47.291,0,300,300,4,0,900,0,0,6100
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCB-1,464,47.291,0,300,300,4,0,900,0,0,7793
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCC-1,464,47.291,0,300,300,4,0,900,0,0,7088
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCA-2,414,47.291,0,300,300,3,0,900,0,0,5089
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCB-2,414,47.291,0,300,300,3,0,900,0,0,6111
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCC-2,414,47.291,0,300,300,3,0,900,0,0,5969
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCA-3,414,47.291,0,300,300,8,0,900,0,0,8619
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCB-3,414,47.291,0,300,300,8,0,900,0,0,10997
"Mechanism Study on the Axial Compressive Performance of Short Square CFST Columns with Different Stiffeners, Bing Xu; Fahong Wu; Guizhong Xu, Advances in Civil Engineering, 2018",55.6,cube,SCC-3,414,47.291,0,300,300,8,0,900,0,0,10096
"Research on Compression Behavior of Square Thin-Walled CFST Columns with Steel-Bar Stiffeners, Zhao Yang; Chengxiang Xu, Unknown, 2018",24.5,cube,C2,243,19.095,0,200,200,2,0,1200,0,0,802
